,pokemon_id,version_group_id,move_id,pokemon_move_method_id,level,order
18695,27,15,210,1,14,
19602,28,15,210,1,14,
34824,46,15,210,1,17,
35645,47,15,210,1,17,
66286,83,15,210,1,1,6.0
101291,123,15,210,1,25,
168725,207,15,210,1,16,
173319,212,15,210,1,25,
206539,253,15,210,1,16,
231695,291,15,210,1,20,2.0
259784,328,15,210,2,0,
265153,335,15,210,1,8,
274141,347,15,210,1,37,
274847,348,15,210,1,37,
309868,402,15,210,1,10,
315687,416,15,210,1,5,
316700,418,15,210,2,0,
345459,472,15,210,1,16,
347222,475,15,210,1,17,
360195,501,15,210,1,19,
360530,502,15,210,1,20,
360864,503,15,210,1,20,
378420,557,15,210,1,1,
389215,588,15,210,1,13,
391396,595,15,210,1,12,
391715,596,15,210,1,12,
400947,624,15,210,1,9,
401352,625,15,210,1,1,6.0
401353,625,15,210,1,9,
403788,632,15,210,1,6,
409887,649,15,210,1,7,
416396,679,15,210,1,5,
416579,680,15,210,1,5,
416749,681,15,210,1,1,1.0
418286,688,15,210,1,37,
418574,689,15,210,1,37,
445397,10026,15,210,1,1,1.0
450498,10046,15,210,1,25,
