,pokemon_id,version_group_id,move_id,pokemon_move_method_id,level,order
205,1,6,230,1,25,
1048,2,6,230,1,29,
1797,3,6,230,1,29,
32406,43,6,230,1,7,
33112,44,6,230,1,1,2.0
33113,44,6,230,1,7,
34379,46,6,230,2,0,
54345,69,6,230,1,30,
55125,70,6,230,1,33,
55776,71,6,230,1,1,3.0
149524,182,6,230,1,1,2.0
173654,213,6,230,2,0,
216577,270,6,230,2,0,
225581,283,6,230,1,13,
226178,284,6,230,1,1,3.0
226179,284,6,230,1,13,
240199,303,6,230,1,16,
248885,314,6,230,1,5,
249641,315,6,230,1,37,
281221,357,6,230,1,21,
