,pokemon_id,version_group_id,move_id,pokemon_move_method_id,level,order
236740,298,15,21,1,20,
236741,298,15,21,2,0,
236742,298,15,34,2,0,
236743,298,15,39,1,2,
236744,298,15,47,2,0,
236745,298,15,55,1,1,2.0
236746,298,15,57,4,0,
236747,298,15,58,4,0,
236748,298,15,59,4,0,
236749,298,15,61,1,13,
236750,298,15,92,4,0,
236751,298,15,104,4,0,
236752,298,15,113,4,0,
236753,298,15,127,4,0,
236754,298,15,145,1,7,
236755,298,15,150,1,1,1.0
236756,298,15,156,4,0,
236757,298,15,164,4,0,
236758,298,15,182,4,0,
236759,298,15,204,1,10,
236760,298,15,207,4,0,
236761,298,15,213,4,0,
236762,298,15,214,4,0,
236763,298,15,216,4,0,
236764,298,15,218,4,0,
236765,298,15,227,2,0,
236766,298,15,237,4,0,
236767,298,15,240,4,0,
236768,298,15,258,4,0,
236769,298,15,263,4,0,
236770,298,15,270,1,16,
236771,298,15,287,2,0,
236772,298,15,293,2,0,
236773,298,15,313,2,0,
236774,298,15,321,2,0,
236775,298,15,330,2,0,
236776,298,15,340,1,23,
236777,298,15,346,1,5,
236778,298,15,346,2,0,
236779,298,15,383,2,0,
236780,298,15,487,2,0,
236781,298,15,496,4,0,
236782,298,15,503,4,0,
236783,298,15,590,4,0,
