,pokemon_id,version_group_id,move_id,pokemon_move_method_id,level,order
20677,30,1,10,1,1,3.0
20678,30,1,10,1,8,
20679,30,1,24,1,50,
20680,30,1,32,4,0,
20681,30,1,33,1,1,2.0
20682,30,1,34,4,0,
20683,30,1,36,4,0,
20684,30,1,38,4,0,
20685,30,1,39,1,23,
20686,30,1,40,1,14,
20687,30,1,44,1,32,
20688,30,1,45,1,1,1.0
20689,30,1,55,4,0,
20690,30,1,58,4,0,
20691,30,1,59,4,0,
20692,30,1,61,4,0,
20693,30,1,85,4,0,
20694,30,1,87,4,0,
20695,30,1,92,4,0,
20696,30,1,99,4,0,
20697,30,1,102,4,0,
20698,30,1,104,4,0,
20699,30,1,115,4,0,
20700,30,1,117,4,0,
20701,30,1,130,4,0,
20702,30,1,154,1,41,
20703,30,1,156,4,0,
20704,30,1,164,4,0,
20705,30,2,10,1,1,3.0
20706,30,2,10,1,8,
20707,30,2,24,1,12,
20708,30,2,32,4,0,
20709,30,2,33,1,1,2.0
20710,30,2,34,4,0,
20711,30,2,36,4,0,
20712,30,2,38,4,0,
20713,30,2,39,1,27,
20714,30,2,40,1,19,
20715,30,2,44,1,36,
20716,30,2,45,1,1,1.0
20717,30,2,55,4,0,
20718,30,2,58,4,0,
20719,30,2,59,4,0,
20720,30,2,61,4,0,
20721,30,2,85,4,0,
20722,30,2,87,4,0,
20723,30,2,92,4,0,
20724,30,2,99,4,0,
20725,30,2,102,4,0,
20726,30,2,104,4,0,
20727,30,2,115,4,0,
20728,30,2,117,4,0,
20729,30,2,130,4,0,
20730,30,2,154,1,46,
20731,30,2,156,4,0,
20732,30,2,164,4,0,
20733,30,3,10,1,8,
20734,30,3,24,1,12,
20735,30,3,29,4,0,
20736,30,3,33,1,1,2.0
20737,30,3,39,1,27,
20738,30,3,40,1,19,
20739,30,3,44,1,36,
20740,30,3,45,1,1,1.0
20741,30,3,59,4,0,
20742,30,3,70,4,0,
20743,30,3,87,4,0,
20744,30,3,92,4,0,
20745,30,3,104,4,0,
20746,30,3,111,4,0,
20747,30,3,154,1,46,
20748,30,3,156,4,0,
20749,30,3,168,4,0,
20750,30,3,173,4,0,
20751,30,3,174,4,0,
20752,30,3,182,4,0,
20753,30,3,189,4,0,
20754,30,3,197,4,0,
20755,30,3,203,4,0,
20756,30,3,207,4,0,
20757,30,3,213,4,0,
20758,30,3,214,4,0,
20759,30,3,216,4,0,
20760,30,3,218,4,0,
20761,30,3,231,4,0,
20762,30,3,237,4,0,
20763,30,3,240,4,0,
20764,30,3,241,4,0,
20765,30,3,249,4,0,
20766,30,4,10,1,8,
20767,30,4,24,1,12,
20768,30,4,29,4,0,
20769,30,4,33,1,1,2.0
20770,30,4,39,1,27,
20771,30,4,40,1,19,
20772,30,4,44,1,36,
20773,30,4,45,1,1,1.0
20774,30,4,58,3,0,
20775,30,4,59,4,0,
20776,30,4,70,4,0,
20777,30,4,85,3,0,
20778,30,4,87,4,0,
20779,30,4,92,4,0,
20780,30,4,104,4,0,
20781,30,4,111,4,0,
20782,30,4,154,1,46,
20783,30,4,156,4,0,
20784,30,4,168,4,0,
20785,30,4,173,4,0,
20786,30,4,174,4,0,
20787,30,4,182,4,0,
20788,30,4,189,4,0,
20789,30,4,197,4,0,
20790,30,4,203,4,0,
20791,30,4,207,4,0,
20792,30,4,213,4,0,
20793,30,4,214,4,0,
20794,30,4,216,4,0,
20795,30,4,218,4,0,
20796,30,4,231,4,0,
20797,30,4,237,4,0,
20798,30,4,240,4,0,
20799,30,4,241,4,0,
20800,30,4,249,4,0,
20801,30,5,10,1,1,2.0
20802,30,5,15,4,0,
20803,30,5,24,1,12,
20804,30,5,39,1,8,
20805,30,5,40,1,18,
20806,30,5,44,1,22,
20807,30,5,45,1,1,1.0
20808,30,5,58,4,0,
20809,30,5,59,4,0,
20810,30,5,70,4,0,
20811,30,5,85,4,0,
20812,30,5,87,4,0,
20813,30,5,91,4,0,
20814,30,5,92,4,0,
20815,30,5,104,4,0,
20816,30,5,154,1,34,
20817,30,5,156,4,0,
20818,30,5,168,4,0,
